accX_variances5,accY_variances5,accZ_variances5,,accX_variances10,accY_variances10,accZ_variances10,,accX_variances20,accY_variances20,accZ_variances20,,accX_variances30,accY_variances30,accZ_variances30,,tags
0.001837519,0.00033659,0.000124186,0.002298295,0.001007499,0.000211825,0.000108819,0.001328143,0.000557094,0.000158238,0.000101077,0.000816409,0.000821949,0.00019477,0.000103584,0.001120303,1
0.00303617,0.000380211,0.000129229,0.00354561,0.001878883,0.000238955,0.000117518,0.002235356,0.001035418,0.000171255,0.000104647,0.00131132,0.001014074,0.000196496,0.000105222,0.001315792,1
0.003382092,0.000402133,0.000128743,0.003912968,0.002601438,0.000259608,0.000120531,0.002981577,0.001494817,0.000180818,0.000105406,0.001781041,0.001276246,0.000198617,0.000107534,0.001582397,1
0.002728881,0.000398555,0.000119777,0.003247213,0.003096712,0.0002742,0.000122539,0.003493451,0.001922972,0.000192555,0.000109399,0.002224926,0.001432172,0.00017755,0.00010757,0.001717292,1
0.000998582,0.000374124,0.000109513,0.001482219,0.003322718,0.000281951,0.000122772,0.003727441,0.002298924,0.000203088,0.000112236,0.002614248,0.001638137,0.000175818,0.000108955,0.00192291,0
0.003038429,0.000275686,0.000119965,0.00343408,0.006091441,0.000340868,0.000149107,0.006581416,0.004425326,0.000226732,0.000133258,0.004785316,0.003169569,0.000192586,0.000124409,0.003486564,0
0.00541927,0.000367978,0.000139238,0.005926486,0.00859388,0.000375056,0.000163973,0.009132909,0.006869563,0.000239404,0.000153643,0.00726261,0.005026674,0.000200806,0.00014015,0.00536763,0
0.00608228,0.000381706,0.00013647,0.006600456,0.009866577,0.000407951,0.000170528,0.010445056,0.009135977,0.000251346,0.000168594,0.009555917,0.006872334,0.000206173,0.000153656,0.007232163,0
0.004636969,0.000317137,0.000126444,0.00508055,0.009639037,0.000441469,0.000165182,0.010245688,0.011099877,0.000265166,0.000180997,0.01154604,0.008617436,0.000214886,0.000166285,0.008998607,0
0.000925774,0.000158491,9.60E-05,0.001180265,0.007826854,0.000467399,0.00015386,0.008448113,0.012725536,0.000276489,0.000194958,0.013196983,0.010229894,0.000222613,0.000178156,0.010630663,0
9.49E-05,7.78E-05,8.30E-05,0.0002557,0.006812056,0.000365868,0.000135122,0.007313046,0.013968094,0.000289226,0.000200759,0.014458079,0.011689385,0.000227977,0.000184069,0.012101431,0
7.35E-05,7.57E-05,8.29E-05,0.0002321,0.006127732,0.000337696,0.000128415,0.006593843,0.014857313,0.000297971,0.000203193,0.015358477,0.013010458,0.000233735,0.000189927,0.01343412,0
6.66E-05,7.56E-05,8.38E-05,0.000226,0.004886613,0.000287065,0.000116333,0.005290011,0.015352856,0.00030626,0.000200178,0.015859294,0.014149056,0.000237699,0.000193842,0.014580597,0
6.35E-05,7.58E-05,8.30E-05,0.0002223,0.003056158,0.000215388,0.000105685,0.003377231,0.015411323,0.000315352,0.000195412,0.015922087,0.015132868,0.000244387,0.000198331,0.015575586,0
